a|/ə/
ablative|/ˈæblətɪv/
ablaze|/əˈbleɪz/
able|/ˈeɪbl/
ably|/ˈeɪbli/
ablutions|/əˈbluːʃnz/
abnegation|/ˌæbnɪˈɡeɪʃn/
abnormal|/æbˈnɔːml/
abnormality|/ˌæbnɔːˈmæləti/
abnormally|/æbˈnɔːməli/
abo|/ˈæbəʊ/
aboard|/əˈbɔːd/
abode|/əˈbəʊd/
abolish|/əˈbɒlɪʃ/
abolition|/ˌæbəˈlɪʃn/
abolitionism|/ˌæbəˈlɪʃənɪzəm/
abolitionist|/ˌæbəˈlɪʃənɪst/
abominable|/əˈbɒmɪnəbl/
abominably|/əˈbɒmɪnəbli/
abominate|/əˈbɒmɪneɪt/
abomination|/əˌbɒmɪˈneɪʃn/
aboriginal|/ˌæbəˈrɪdʒənl/
aborigine|/ˌæbəˈrɪdʒəni/
abort|/əˈbɔːt/
abortion|/əˈbɔːʃn/
abortionist|/əˈbɔːʃənɪst/
abortive|/əˈbɔːtɪv/
abound|/əˈbaʊnd/
about|/əˈbaʊt/
above|/əˈbʌv/
abracadabra|/ˌæbrəkəˈdæbrə/
abrade|/əˈbreɪd/
abraham|/ˌeɪbrəhæm ˈkaʊli/
abrasion|/əˈbreɪʒn/
abrasive|/əˈbreɪsɪv/
abrasively|/əˈbreɪsɪvli/
abrasiveness|/əˈbreɪsɪvnəs/
abreast|/əˈbrest/
abridge|/əˈbrɪdʒ/
abridged|/əˈbrɪdʒd/
abridgement|/əˈbrɪdʒmənt/
abroad|/əˈbrɔːd/
abrogate|/ˈæbrəɡeɪt/
abrogation|/ˌæbrəˈɡeɪʃn/
abrupt|/əˈbrʌpt/
abruptly|/əˈbrʌptli/
abruptness|/əˈbrʌptnəs/
abs|/æbz/
abscess|/ˈæbses/
abscissa|/æbˈsɪsə/
abscond|/əbˈskɒnd/
abseil|/ˈæbseɪl/
abseiling|/ˈæbseɪlɪŋ/
absence|/ˈæbsəns/
absent|/ˈæbsənt/
absentee|/ˌæbsənˈtiː/
absenteeism|/ˌæbsənˈtiːɪzəm/
absently|/ˈæbsəntli/
absinthe|/ˈæbsɪnθ/
absolute|/ˈæbsəluːt/
absolutely|/ˈæbsəluːtli/
absolution|/ˌæbsəˈluːʃn/
absolutism|/ˈæbsəluːtɪzəm/
absolutist|/ˈæbsəluːtɪst/
absolve|/əbˈzɒlv/
absorb|/əbˈzɔːb/
absorbable|/əbˈzɔːbəbl/
absorbance|/əbˈzɔːbəns/
absorbed|/əbˈzɔːbd/
absorbency|/əbˈzɔːbənsi/
absorbent|/əbˈzɔːbənt/
absorbing|/əbˈzɔːbɪŋ/
absorption|/əbˈzɔːpʃn/
abstain|/əbˈsteɪn/
abstainer|/əbˈsteɪnə(r)/
abstemious|/əbˈstiːmiəs/
abstention|/əbˈstenʃn/
abstinence|/ˈæbstɪnəns/
abstinent|/ˈæbstɪnənt/
abstract|/ˈæbstrækt/
abstracted|/æbˈstræktɪd/
abstractedly|/æbˈstræktɪdli/
abstraction|/æbˈstrækʃn/
abstractionism|/æbˈstrækʃənɪzəm/
abstractionist|/æbˈstrækʃənɪst/
abstractly|/ˈæbstræktli/
abstruse|/əbˈstruːs/
absurd|/əbˈsɜːd/
absurdism|/əbˈsɜːdɪzəm/
absurdist|/əbˈsɜːdɪst/
absurdity|/əbˈsɜːdəti/
absurdly|/əbˈsɜːdli/
abundance|/əˈbʌndəns/
abundant|/əˈbʌndənt/
abundantly|/əˈbʌndəntli/
abuse|/əˈbjuːs/
abuser|/əˈbjuːzə(r)/
abusive|/əˈbjuːsɪv/
abusively|/əˈbjuːsɪvli/
abut|/əˈbʌt/
abutment|/əˈbʌtmənt/
abuzz|/əˈbʌz/
ac|/ˌeɪ ˈsiː/
acacia|/əˈkeɪʃə/
academy|/əˈkædəmi/
academia|/ˌækəˈdiːmiə/
academic|/ˌækəˈdemɪk/
academically|/ˌækəˈdemɪkli/
academician|/əˌkædəˈmɪʃn/
academicism|/ˌækəˈdemɪsɪzəm/
acadian|/əˈkeɪdiən/
acanthus|/əˈkænθəs/
accede|/əkˈsiːd/
accelerando|/əkˌseləˈrændəʊ/
accelerate|/əkˈseləreɪt/
acceleration|/əkˌseləˈreɪʃn/
accelerator|/əkˈseləreɪtə(r)/
accelerometer|/əkˌseləˈrɒmɪtə(r)/
accent|/ˈæksent/
accented|/ˈæksentɪd/
accentuate|/əkˈsentʃueɪt/
accentuation|/əkˌsentʃuˈeɪʃn/
accept|/əkˈsept/
acceptability|/əkˌseptəˈbɪləti/
acceptable|/əkˈseptəbl/
acceptably|/əkˈseptəbli/
acceptance|/əkˈseptəns/
acceptation|/ˌæksepˈteɪʃn/
accepted|/əkˈseptɪd/
access|/ˈækses/
accessibility|/əkˌsesəˈbɪləti/
accessible|/əkˈsesəbl/
accession|/əkˈseʃn/
accessory|/əkˈsesəri/
accessorize|/əkˈsesəraɪz/
accidence|/ˈæksɪdəns/
accident|/ˈæksɪdənt/
accidental|/ˌæksɪˈdentl/
accidentally|/ˌæksɪˈdentəli/
acclaim|/əˈkleɪm/
acclamation|/ˌækləˈmeɪʃn/
acclimate|/ˈækləmeɪt/
acclimation|/ˌækləˈmeɪʃn/
acclimatization|/əˌklaɪmətaɪˈzeɪʃn/
acclimatize|/əˈklaɪmətaɪz/
accolade|/ˈækəleɪd/
accommodate|/əˈkɒmədeɪt/
accommodating|/əˈkɒmədeɪtɪŋ/
accommodation|/əˌkɒməˈdeɪʃn/
accompany|/əˈkʌmpəni/
accompanying|/əˈkʌmpəniɪŋ/
accompaniment|/əˈkʌmpənimənt/
accompanist|/əˈkʌmpənɪst/
accomplice|/əˈkʌmplɪs/
accomplish|/əˈkʌmplɪʃ/
accomplished|/əˈkʌmplɪʃt/
accomplishment|/əˈkʌmplɪʃmənt/
accord|/əˈkɔːd/
accordance|/əˈkɔːdns/
accordingly|/əˈkɔːdɪŋli/
accordion|/əˈkɔːdiən/
accost|/əˈkɒst/
account|/əˈkaʊnt/
accountability|/əˌkaʊntəˈbɪləti/
accountable|/əˈkaʊntəbl/
accountancy|/əˈkaʊntənsi/
accountant|/əˈkaʊntənt/
accounting|/əˈkaʊntɪŋ/
accoutred|/əˈkuːtəd/
accoutrements|/əˈkuːtrəmənts/
accredit|/əˈkredɪt/
accreditation|/əˌkredɪˈteɪʃn/
accredited|/əˈkredɪtɪd/
accretion|/əˈkriːʃn/
accrual|/əˈkruːəl/
accrue|/əˈkruː/
acct|NA
acculturate|/əˈkʌltʃəreɪt/
acculturation|/əˌkʌltʃəˈreɪʃn/
accumulate|/əˈkjuːmjəleɪt/
accumulation|/əˌkjuːmjəˈleɪʃn/
accumulative|/əˈkjuːmjələtɪv/
accumulator|/əˈkjuːmjəleɪtə(r)/
accuracy|/ˈækjərəsi/
accurate|/ˈækjərət/
accurately|/ˈækjərətli/
accursed|/əˈkɜːsɪd/
accusation|/ˌækjuˈzeɪʃn/
accusative|/əˈkjuːzətɪv/
accusatory|/əˈkjuːzətəri/
accuse|/əˈkjuːz/
accuser|/əˈkjuːzə(r)/
accusing|/əˈkjuːzɪŋ/
accusingly|/əˈkjuːzɪŋli/
accustomed|/əˈkʌstəmd/
ace|/eɪs/
acellular|/ˌeɪˈseljələ(r)/
acer|/ˈeɪsə(r)/
acerbic|/əˈsɜːbɪk/
acerbity|/əˈsɜːbəti/
acetaminophen|/əˌsiːtəˈmɪnəfen/
acetate|/ˈæsɪteɪt/
acetylene|/əˈsetəliːn/
acetone|/ˈæsɪtəʊn/
ach|/ɑːx/
ache|/eɪk/
achy|/ˈeɪki/
achievable|/əˈtʃiːvəbl/
achieve|/əˈtʃiːv/
achievement|/əˈtʃiːvmənt/
achiever|/əˈtʃiːvə(r)/
achingly|/ˈeɪkɪŋli/
achkan|/ˈæʃkən/
achoo|/əˈtʃuː/
acy|/əsi/
acyclic|/ˌeɪˈsaɪklɪk/
acid|/ˈæsɪd/
acidic|/əˈsɪdɪk/
acidify|/əˈsɪdɪfaɪ/
acidity|/əˈsɪdəti/
acidly|/ˈæsɪdli/
acidulous|/əˈsɪdʒələs/
ackee|/ˈæki/
acknowledge|/əkˈnɒlɪdʒ/
acknowledgement|/əkˈnɒlɪdʒmənt/
aclu|/ˌeɪ siː el ˈjuː/
acme|/ˈækmi/
acne|/ˈækni/
acolyte|/ˈækəlaɪt/
aconite|/ˈækənaɪt/
acorn|/ˈeɪkɔːn/
acoustic|/əˈkuːstɪk/
acoustically|/əˈkuːstɪkli/
acoustician|/ˌækuːˈstɪʃn/
acoustics|/əˈkuːstɪks/
acquaint|/əˈkweɪnt/
acquaintance|/əˈkweɪntəns/
acquaintanceship|/əˈkweɪntənsʃɪp/
acquainted|/əˈkweɪntɪd/
acquiesce|/ˌækwiˈes/
acquiescence|/ˌækwiˈesns/
acquiescent|/ˌækwiˈesnt/
acquire|/əˈkwaɪə(r)/
acquisition|/ˌækwɪˈzɪʃn/
acquisitive|/əˈkwɪzətɪv/
acquisitiveness|/əˈkwɪzətɪvnəs/
acquit|/əˈkwɪt/
acquittal|/əˈkwɪtl/
acre|/ˈeɪkə(r)/
acreage|/ˈeɪkərɪdʒ/
acrid|/ˈækrɪd/
acrylic|/əˈkrɪlɪk/
acrimony|/ˈækrɪməni/
acrimonious|/ˌækrɪˈməʊniəs/
acrimoniously|/ˌækrɪˈməʊniəsli/
acrobat|/ˈækrəbæt/
acrobatic|/ˌækrəˈbætɪk/
acrobatically|/ˌækrəˈbætɪkli/
acrobatics|/ˌækrəˈbætɪks/
acronym|/ˈækrənɪm/
acropolis|/əˈkrɒpəlɪs/
across|/əˈkrɒs/
acrostic|/əˈkrɒstɪk/
act|/ækt/
acting|/ˈæktɪŋ/
actinium|/ækˈtɪniəm/
action|/ˈækʃn/
actionable|/ˈækʃənəbl/
actioner|/ˈækʃənə(r)/
activate|/ˈæktɪveɪt/
activation|/ˌæktɪˈveɪʃn/
active|/ˈæktɪv/
actively|/ˈæktɪvli/
activism|/ˈæktɪvɪzəm/
activist|/ˈæktɪvɪst/
activity|/ækˈtɪvəti/
actor|/ˈæktə(r)/
actress|/ˈæktrəs/
actual|/ˈæktʃuəl/
actuality|/ˌæktʃuˈæləti/
actualize|/ˈæktʃuəlaɪz/
actually|/ˈæktʃuəli/
actuary|/ˈæktʃuəri/
actuarial|/ˌæktʃuˈeəriəl/
actuate|/ˈæktʃueɪt/
acuity|/əˈkjuːəti/
acumen|/ˈækjəmən/
acupressure|/ˈækjupreʃə(r)/
acupuncture|/ˈækjupʌŋktʃə(r)/
acupuncturist|/ˈækjupʌŋktʃərɪst/
acute|/əˈkjuːt/
acutely|/əˈkjuːtli/
acuteness|/əˈkjuːtnəs/
ad|/æd/
adage|/ˈædɪdʒ/
adagio|/əˈdɑːdʒiəʊ/
adam|/ˈædəm/
adamant|/ˈædəmənt/
adamantine|/ˌædəˈmæntaɪn/
adamantly|/ˈædəməntli/
adapt|/əˈdæpt/
adaptability|/əˌdæptəˈbɪləti/
adaptable|/əˈdæptəbl/
adaptation|/ˌædæpˈteɪʃn/
adapter|/əˈdæptə(r)/
adaptive|/əˈdæptɪv/
adc|/ˌeɪ diː ˈsiː/
add|/æd/
addendum|/əˈdendəm/
adder|/ˈædə(r)/
addy|/ˈædi/
addict|/ˈædɪkt/
addicted|/əˈdɪktɪd/
addiction|/əˈdɪkʃn/
addictive|/əˈdɪktɪv/
addition|/əˈdɪʃn/
additional|/əˈdɪʃənl/
additionally|/əˈdɪʃənəli/
additive|/ˈædətɪv/
addle|/ˈædl/
addled|/ˈædld/
address|/əˈdres/
addressable|/əˈdresəbl/
addressee|/ˌædreˈsiː/
adduce|/əˈdjuːs/
adductor|/əˈdʌktə(r)/
adelaide|/ˈædəleɪd/
adenine|/ˈædəniːn/
adenoidal|/ˌædəˈnɔɪdl/
adenoids|/ˈædənɔɪdz/
adept|/əˈdept/
adeptly|/əˈdeptli/
adequacy|/ˈædɪkwəsi/
adequate|/ˈædɪkwət/
adequately|/ˈædɪkwətli/
adhere|/ədˈhɪə(r)/
adherence|/ədˈhɪərəns/
adherent|/ədˈhɪərənt/
adhesion|/ədˈhiːʒn/
adhesive|/ədˈhiːsɪv/
adieu|/əˈdjuː/
adipose|/ˈædɪpəʊs/
adjacent|/əˈdʒeɪsnt/
adjectival|/ˌædʒekˈtaɪvl/
adjectivally|/ˌædʒekˈtaɪvəli/
adjective|/ˈædʒɪktɪv/
adjoin|/əˈdʒɔɪn/
adjoining|/əˈdʒɔɪnɪŋ/
adjourn|/əˈdʒɜːn/
adjournment|/əˈdʒɜːnmənt/
adjudge|/əˈdʒʌdʒ/
adjudicate|/əˈdʒuːdɪkeɪt/
adjudication|/əˌdʒuːdɪˈkeɪʃn/
adjudicator|/əˈdʒuːdɪkeɪtə(r)/
adjunct|/ˈædʒʌŋkt/
adjure|/əˈdʒʊə(r)/
adjust|/əˈdʒʌst/
adjustable|/əˈdʒʌstəbl/
adjustment|/əˈdʒʌstmənt/
adjutant|/ˈædʒʊtənt/
adman|/ˈædmæn/
admin|/ˈædmɪn/
administer|/ədˈmɪnɪstə(r)/
administration|/ədˌmɪnɪˈstreɪʃn/
administrative|/ədˈmɪnɪstrətɪv/
administratively|/ədˈmɪnɪstrətɪvli/
administrator|/ədˈmɪnɪstreɪtə(r)/
admirable|/ˈædmərəbl/
admirably|/ˈædmərəbli/
admiral|/ˈædmərəl/
admiration|/ˌædməˈreɪʃn/
admire|/ədˈmaɪə(r)/
admirer|/ədˈmaɪərə(r)/
admiring|/ədˈmaɪərɪŋ/
admiringly|/ədˈmaɪərɪŋli/
admissibility|/ədˌmɪsəˈbɪləti/
admissible|/ədˈmɪsəbl/
admission|/ədˈmɪʃn/
admit|/ədˈmɪt/
admittance|/ədˈmɪtns/
admittedly|/ədˈmɪtɪdli/
admixture|/ədˈmɪkstʃə(r)/
admonish|/ədˈmɒnɪʃ/
admonition|/ˌædməˈnɪʃn/
admonitory|/ədˈmɒnɪtri/
ado|/əˈduː/
adobe|/əˈdəʊbi/
adolescence|/ˌædəˈlesns/
adolescent|/ˌædəˈlesnt/
adonis|/əˈdəʊnɪs/
adopt|/əˈdɒpt/
adopted|/əˈdɒptɪd/
adoptee|/əˌdɒpˈtiː/
adopter|/əˈdɒptə(r)/
adoption|/əˈdɒpʃn/
adoptive|/əˈdɒptɪv/
adorable|/əˈdɔːrəbl/
adorably|/əˈdɔːrəbli/
adoration|/ˌædəˈreɪʃn/
adore|/əˈdɔː(r)/
adoring|/əˈdɔːrɪŋ/
adoringly|/əˈdɔːrɪŋli/
adorn|/əˈdɔːn/
adornment|/əˈdɔːnmənt/
adrenaline|/əˈdrenəlɪn/
adrian|/ˌeɪdriən ˈbəʊlt/
adrift|/əˈdrɪft/
adroit|/əˈdrɔɪt/
adroitly|/əˈdrɔɪtli/
adroitness|/əˈdrɔɪtnəs/
adsorb|/ədˈzɔːb/
adsorbent|/ədˈzɔːbənt/
adulation|/ˌædjuˈleɪʃn/
adulatory|/ˌædjuˈleɪtəri/
adult|/ˈædʌlt/
adulterate|/əˈdʌltəreɪt/
adulteration|/əˌdʌltəˈreɪʃn/
adulterer|/əˈdʌltərə(r)/
adulteress|/əˈdʌltərəs/
adultery|/əˈdʌltəri/
adulterous|/əˈdʌltərəs/
adulthood|/ˈædʌlthʊd/
adumbrate|/ˈædəmbreɪt/
advance|/ədˈvɑːns/
advanced|/ədˈvɑːnst/
advancement|/ədˈvɑːnsmənt/
advancing|/ədˈvɑːnsɪŋ/
advantage|/ədˈvɑːntɪdʒ/
advantaged|/ədˈvɑːntɪdʒd/
advantageous|/ˌædvənˈteɪdʒəs/
advantageously|/ˌædvənˈteɪdʒəsli/
advent|/ˈædvent/
adventitious|/ˌædvenˈtɪʃəs/
adventure|/ədˈventʃə(r)/
adventurer|/ədˈventʃərə(r)/
adventuresome|/ədˈventʃəsəm/
adventuress|/ədˈventʃəres/
adventurism|/ədˈventʃərɪzəm/
adventurous|/ədˈventʃərəs/
adventurously|/ədˈventʃərəsli/
adverb|/ˈædvɜːb/
adverbial|/ædˈvɜːbiəl/
adversary|/ˈædvəsəri/
adversarial|/ˌædvəˈseəriəl/
adversative|/ədˈvɜːsətɪv/
adverse|/ˈædvɜːs/
adversely|/ˈædvɜːsli/
adversity|/ədˈvɜːsəti/
advert|/ˈædvɜːt/
advertise|/ˈædvətaɪz/
advertisement|/ədˈvɜːtɪsmənt/
advertiser|/ˈædvətaɪzə(r)/
advertising|/ˈædvətaɪzɪŋ/
advice|/ədˈvaɪs/
advisability|/ədˌvaɪzəˈbɪləti/
advisable|/ədˈvaɪzəbl/
advise|/ədˈvaɪz/
advisedly|/ədˈvaɪzədli/
advisement|/ədˈvaɪzmənt/
adviser|/ədˈvaɪzə(r)/
advisory|/ədˈvaɪzəri/
advocaat|/ˈædvəkɑː/
advocacy|/ˈædvəkəsi/
advocate|/ˈædvəkət/
adze|/ædz/
aegis|/ˈiːdʒɪs/
aeolian|/iːˈəʊliən/
aeon|/ˈiːən/
aerate|/ˈeəreɪt/
aeration|/eəˈreɪʃn/
aerial|/ˈeəriəl/
aerialist|/ˈeəriəlɪst/
aerie|/ˈɪəri/
aero|/eərəʊ/
aerobatic|/ˌeərəˈbætɪk/
aerobatics|/ˌeərəˈbætɪks/
aerobic|/eəˈrəʊbɪk/
aerobics|/eəˈrəʊbɪks/
aerodynamic|/ˌeərəʊdaɪˈnæmɪk/
aerodynamically|/ˌeərəʊdaɪˈnæmɪkli/
aerodynamics|/ˌeərəʊdaɪˈnæmɪks/
aerodrome|/ˈeərədrəʊm/
aerofoil|/ˈeərəfɔɪl/
aerogramme|/ˈeərəɡræm/
aeronaut|/ˈeərənɔːt/
aeronautical|/ˌeərəˈnɔːtɪkl/
aeronautics|/ˌeərəˈnɔːtɪks/
aeroplane|/ˈeərəpleɪn/
aerosol|/ˈeərəsɒl/
aerospace|/ˈeərəʊspeɪs/
aerostat|/ˈeərəstæt/
aesthete|/ˈiːsθiːt/
aesthetic|/iːsˈθetɪk/
aesthetically|/iːsˈθetɪkli/
aestheticism|/iːsˈθetɪsɪzəm/
aetiology|/ˌiːtiˈɒlədʒi/
afar|/əˈfɑː(r)/
afara|/əˈfɑːrə/
affability|/ˌæfəˈbɪləti/
affable|/ˈæfəbl/
affably|/ˈæfəbli/
affair|/əˈfeə(r)/
affaire|/əˈfeə(r)/
affect|/əˈfekt/
affectation|/ˌæfekˈteɪʃn/
affected|/əˈfektɪd/
affectedly|/əˈfektɪdli/
affecting|/əˈfektɪŋ/
affection|/əˈfekʃn/
affectionate|/əˈfekʃənət/
affectionately|/əˈfekʃənətli/
affective|/əˈfektɪv/
affectively|/əˈfektɪvli/
affidavit|/ˌæfəˈdeɪvɪt/
affiliate|/əˈfɪlieɪt/
affiliated|/əˈfɪlieɪtɪd/
affiliation|/əˌfɪliˈeɪʃn/
affinity|/əˈfɪnəti/
affirm|/əˈfɜːm/
affirmation|/ˌæfəˈmeɪʃn/
affirmative|/əˈfɜːmətɪv/
affirmatively|/əˈfɜːmətɪvli/
affix|/əˈfɪks/
afflict|/əˈflɪkt/
affliction|/əˈflɪkʃn/
affluence|/ˈæfluəns/
affluent|/ˈæfluənt/
afford|/əˈfɔːd/
affordable|/əˈfɔːdəbl/
afforest|/əˈfɒrɪst/
afforestation|/əˌfɒrɪˈsteɪʃn/
affray|/əˈfreɪ/
affricate|/ˈæfrɪkət/
affront|/əˈfrʌnt/
afghan|/ˈæfɡæn/
afghanistan|/æfˈɡænɪstɑːn/
aficionado|/əˌfɪʃəˈnɑːdəʊ/
afield|/əˈfiːld/
aflame|/əˈfleɪm/
afloat|/əˈfləʊt/
aflutter|/əˈflʌtə(r)/
afoot|/əˈfʊt/
aforementioned|/əˈfɔːmenʃənd/
aforethought|/əˈfɔːθɔːt/
afoul|/əˈfaʊl/
afraid|/əˈfreɪd/
afresh|/əˈfreʃ/
africa|/ˈæfrɪkə/
african|/ˈæfrɪkən/
afrikaans|/ˌæfrɪˈkɑːns/
afrikaner|/ˌæfrɪˈkɑːnə(r)/
afro|/ˈæfrəʊ/
aft|/ɑːft/
after|/ˈɑːftə(r)/
afterbirth|/ˈɑːftəbɜːθ/
afterburner|/ˈɑːftəbɜːnə(r)/
aftercare|/ˈɑːftəkeə(r)/
afterglow|/ˈɑːftəɡləʊ/
afterlife|/ˈɑːftəlaɪf/
aftermarket|/ˈɑːftəmɑːkɪt/
aftermath|/ˈɑːftəmæθ/
aftermost|/ˈɑːftəməʊst/
afternoon|/ˌɑːftəˈnuːn/
afternoons|/ˌɑːftəˈnuːnz/
afters|/ˈɑːftəz/
aftershave|/ˈɑːftəʃeɪv/
aftershock|/ˈɑːftəʃɒk/
aftertaste|/ˈɑːftəteɪst/
afterthought|/ˈɑːftəθɔːt/
afterwards|/ˈɑːftəwədz/
afterword|/ˈɑːftəwɜːd/
ag|/æx/
again|/əˈɡen/
against|/əˈɡenst/
agape|/əˈɡeɪp/
agar|/ˈeɪɡɑː(r)/
agaric|/ˈæɡərɪk/
agate|/ˈæɡət/
agave|/əˈɡeɪvi/
age|/eɪdʒ/
aged|/eɪdʒd/
ageing|/ˈeɪdʒɪŋ/
ageism|/ˈeɪdʒɪzəm/
ageist|/ˈeɪdʒɪst/
ageless|/ˈeɪdʒləs/
agency|/ˈeɪdʒənsi/
agenda|/əˈdʒendə/
agent|/ˈeɪdʒənt/
agglomerate|/əˈɡlɒməreɪt/
agglomeration|/əˌɡlɒməˈreɪʃn/
agglutinative|/əˈɡluːtɪnətɪv/
aggrandizement|/əˈɡrændɪzmənt/
aggravate|/ˈæɡrəveɪt/
aggravated|/ˈæɡrəveɪtɪd/
aggravating|/ˈæɡrəveɪtɪŋ/
aggravation|/ˌæɡrəˈveɪʃn/
aggregate|/ˈæɡrɪɡət/
aggregation|/ˌæɡrɪˈɡeɪʃn/
aggregator|/ˈæɡrɪɡeɪtə(r)/
aggression|/əˈɡreʃn/
aggressive|/əˈɡresɪv/
aggressively|/əˈɡresɪvli/
aggressiveness|/əˈɡresɪvnəs/
aggressor|/əˈɡresə(r)/
aggrieved|/əˈɡriːvd/
aggro|/ˈæɡrəʊ/
aghast|/əˈɡɑːst/
agile|/ˈædʒaɪl/
agility|/əˈdʒɪləti/
aging|/ˈeɪdʒɪŋ/
agism|/ˈeɪdʒɪzəm/
agitate|/ˈædʒɪteɪt/
agitated|/ˈædʒɪteɪtɪd/
agitation|/ˌædʒɪˈteɪʃn/
agitato|/ˌædʒɪˈtɑːtəʊ/
agitator|/ˈædʒɪteɪtə(r)/
agitprop|/ˈædʒɪtprɒp/
agleam|/əˈɡliːm/
aglow|/əˈɡləʊ/
agnosia|/æɡˈnəʊziə/
agnostic|/æɡˈnɒstɪk/
agnosticism|/æɡˈnɒstɪsɪzəm/
ago|/əˈɡəʊ/
agog|/əˈɡɒɡ/
agony|/ˈæɡəni/
agonize|/ˈæɡənaɪz/
agonized|/ˈæɡənaɪzd/
agonizing|/ˈæɡənaɪzɪŋ/
agonizingly|/ˈæɡənaɪzɪŋli/
agora|/ˈæɡərə/
agoraphobia|/ˌæɡərəˈfəʊbiə/
agoraphobic|/ˌæɡərəˈfəʊbɪk/
agraphia|/əˈɡræfiə/
agrarian|/əˈɡreəriən/
agree|/əˈɡriː/
agreeable|/əˈɡriːəbl/
agreeably|/əˈɡriːəbli/
agreed|/əˈɡriːd/
agreement|/əˈɡriːmənt/
agribusiness|/ˈæɡrɪbɪznəs/
agric|/ˈæɡrɪk/
agricultural|/ˌæɡrɪˈkʌltʃərəl/
agriculturalist|/ˌæɡrɪˈkʌltʃərəlɪst/
agriculture|/ˈæɡrɪkʌltʃə(r)/
agronomy|/əˈɡrɒnəmi/
agronomist|/əˈɡrɒnəmɪst/
aground|/əˈɡraʊnd/
ague|/ˈeɪɡjuː/
ah|/ɑː/
aha|/ɑːˈhɑː/
ahchoo|/əˈtʃuː/
ahead|/əˈhed/
ahem|/əˈhem/
ahimsa|/əˈhɪmsɑː/
ahistorical|/ˌeɪhɪˈstɒrɪkl/
ahoy|/əˈhɔɪ/
ai|/ˌeɪ ˈaɪ/
ayah|/ˈaɪə/
ayatollah|/ˌaɪəˈtɒlə/
aid|/eɪd/
aide|/eɪd/
aiding|/ˈeɪdɪŋ/
aids|/eɪdz/
aye|/aɪ/
ayes|/aɪz/
aikido|/aɪˈkiːdəʊ/
ail|/eɪl/
aileron|/ˈeɪlərɒn/
ailing|/ˈeɪlɪŋ/
ailment|/ˈeɪlmənt/
aim|/eɪm/
aimless|/ˈeɪmləs/
aimlessly|/ˈeɪmləsli/
aimlessness|/ˈeɪmləsnəs/
aioli|/aɪˈəʊli/
air|/eə(r)/
airbag|/ˈeəbæɡ/
airborne|/ˈeəbɔːn/
airbrush|/ˈeəbrʌʃ/
aircraft|/ˈeəkrɑːft/
aircraftman|/ˈeəkrɑːftmən/
aircraftwoman|/ˈeəkrɑːftwʊmən/
aircrew|/ˈeəkruː/
airdrome|/ˈeədrəʊm/
airdrop|/ˈeədrɒp/
airedale|/ˈeədeɪl/
airer|/ˈeərə(r)/
airfare|/ˈeəfeə(r)/
airfield|/ˈeəfiːld/
airflow|/ˈeəfləʊ/
airfoil|/ˈeəfɔɪl/
airfreight|/ˈeəfreɪt/
airhead|/ˈeəhed/
airy|/ˈeəri/
airily|/ˈeərəli/
airing|/ˈeərɪŋ/
airless|/ˈeələs/
airlift|/ˈeəlɪft/
airline|/ˈeəlaɪn/
airliner|/ˈeəlaɪnə(r)/
airlock|/ˈeəlɒk/
airmail|/ˈeəmeɪl/
airman|/ˈeəmən/
airplay|/ˈeəpleɪ/
airplane|/ˈeəpleɪn/
